procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  33384  52404 291108    0    0     0    24 2586  733  4 23 73  0  0
 1  0      0  33432  52404 291108    0    0     0     0 2261  685  0 23 77  0  0
 0  0      0  33544  52404 291108    0    0     0     0 2430  685  0 19 81  0  0
 2  0      0  33496  52404 291108    0    0     0     0 2157  683  0 26 74  0  0
 0  0      0  33688  52404 291108    0    0     0     0 2393  729  1 19 79  0  0
 1  0      0  33736  52404 291108    0    0     0    16 2011  640  0 23 76  1  0
 0  0      0  33624  52404 291108    0    0     0     0 2594  780  0 19 81  0  0
 0  0      0  33640  52404 291108    0    0     0     0 1411  475  1  7 92  0  0
 1  0      0  33672  52404 291108    0    0     0     8 1884  650  2 19 79  0  0
 0  0      0  33624  52404 291108    0    0     0     0 1708  550  0 12 88  0  0
 0  0      0  33608  52408 291108    0    0     0    24 1549  543  1 14 85  0  0
 0  0      0  33800  52408 291108    0    0     0     0 1886  631  4 11 85  0  0
 0  0      0  33848  52408 291108    0    0     0     0 1588  579  1 10 88  0  0
 1  0      0  33912  52408 291108    0    0     0     0 1775  590  0 16 84  0  0
 0  0      0  33864  52408 291108    0    0     0     0 1188  516  1  7 92  0  0
 3  0      0  33832  52412 291108    0    0     0    16 1376  558  0  5 94  1  0
 0  0      0  33832  52412 291108    0    0     0     0  972  480  0  7 93  0  0
 0  0      0  33768  52412 291108    0    0     0     0  637  430  1  5 94  0  0
 0  0      0  33768  52412 291108    0    0     0     0  463  405  2  0 98  0  0
 0  0      0  33768  52412 291108    0    0     0     0  639  420  0  2 98  0  0
 1  0      0  33752  52416 291108    0    0     0    12 1001  469  1  4 94  0  0
 0  0      0  33800  52416 291108    0    0     0     0 1211  506  0  6 94  0  0
 0  0      0  33816  52416 291108    0    0     0     0  869  450  0  4 96  0  0
 0  0      0  33816  52416 291108    0    0     0     0  627  424  1  2 97  0  0
 0  0      0  33816  52416 291108    0    0     0     0  739  444  1  3 96  0  0
 0  0      0  33832  52416 291108    0    0     0    12  788  444  0  2 97  1  0
 0  0      0  33784  52416 291108    0    0     0     0  744  441  1  4 95  0  0
 0  0      0  33752  52416 291108    0    0     0     0 1360  545  2  8 90  0  0
 0  0      0  33752  52416 291108    0    0     0    12 1191  516  0  7 93  0  0
 0  0      0  33800  52416 291108    0    0     0     0  960  485  2  5 93  0  0
 0  0      0  33832  52420 291108    0    0     0    16  940  472  2  2 96  0  0
 0  0      0  33832  52420 291108    0    0     0     0  890  504  0  3 97  0  0
 0  0      0  33832  52420 291108    0    0     0     0 1088  535  0  7 93  0  0
 0  0      0  33864  52420 291108    0    0     0     0 1337  572  1  9 90  0  0
 1  0      0  33736  52420 291108    0    0     0     0  908  556  0  4 96  0  0
 0  0      0  33752  52420 291108    0    0     0    12 1041  567  1  5 92  1  0
 0  0      0  33752  52420 291108    0    0     0     0  804  530  0  1 99  0  0
 1  0      0  33752  52420 291108    0    0     0     0  816  540  0  2 98  0  0
 0  0      0  33768  52420 291108    0    0     0     0  937  520  2  1 97  0  0
 0  0      0  33800  52420 291108    0    0     0     0  841  454  0  1 99  0  0
 0  0      0  33800  52424 291108    0    0     0    12  843  464  2  4 94  0  0
 0  0      0  33800  52424 291108    0    0     0     0  803  451  1  3 96  0  0
 1  0      0  33800  52424 291108    0    0     0     0  720  436  1  6 93  0  0
 1  0      0  33800  52424 291108    0    0     0     4  733  433  0  4 96  0  0
 0  0      0  33768  52424 291112    0    0     0     0  783  447  0  4 96  0  0
 0  0      0  33816  52428 291112    0    0     0    12 1009  484  0  6 92  1  0
 0  0      0  33816  52428 291112    0    0     0     0  745  459  2  5 93  0  0
