procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
30  0    512  51332  50864 270988    0    0     0     0 6067  663  3 97  0  0  0
32  0    512  51268  50868 270988    0    0     0    40 6140  672  2 98  0  0  0
31  0    512  51236  50868 270988    0    0     0     0 6034  663  1 99  0  0  0
30  0    512  51028  50868 270988    0    0     0     0 5995  695  1 99  0  0  0
32  0    512  51268  50868 270992    0    0     0     0 5959  673  1 99  0  0  0
28  0    512  51316  50868 270992    0    0     0    16 5980  848  3 97  0  0  0
31  0    512  51488  50868 270992    0    0     0     0 5978  737  1 99  0  0  0
31  0    512  51376  50868 270996    0    0     0     0 5959  718  3 97  0  0  0
31  0    512  51312  50868 270996    0    0     0     0 5897  709  3 97  0  0  0
33  0    512  51312  50868 270996    0    0     0     0 5975  690  2 98  0  0  0
32  0    512  51216  50868 271000    0    0     0     0 5929  717  0 100  0  0  0
31  0    512  51264  50868 271000    0    0     0    44 6150  694  2 98  0  0  0
33  0    512  51440  50868 271000    0    0     0     0 6021  678  0 100  0  0  0
31  0    512  51424  50868 271000    0    0     0     0 5966  718  2 98  0  0  0
32  0    512  51216  50868 271000    0    0     0     0 6025  670  0 100  0  0  0
31  0    512  51248  50868 271004    0    0     0     0 5954  707  1 99  0  0  0
31  0    512  51552  50872 271008    0    0     0    16 5948  712  1 99  0  0  0
30  0    512  51568  50872 271008    0    0     0     0 6083  684  0 100  0  0  0
33  0    512  51408  50872 271012    0    0     0     0 6082  661  0 100  0  0  0
31  0    512  51360  50872 271012    0    0     0     0 6029  692  0 100  0  0  0
30  0    512  51440  50872 271012    0    0     0     0 6007  661  1 99  0  0  0
35  0    512  51360  50872 271012    0    0     0    20 6033  703  1 99  0  0  0
31  0    512  51360  50872 271016    0    0     0     0 6004  662  3 97  0  0  0
34  0    512  51280  50872 271016    0    0     0     0 5909  707  1 99  0  0  0
31  0    512  51216  50872 271016    0    0     0     0 6011  677  0 100  0  0  0
32  0    512  51344  50872 271016    0    0     0     0 6079  666  0 100  0  0  0
30  0    512  51360  50872 271020    0    0     0    52 6024  712  1 99  0  0  0
33  0    512  51232  50872 271020    0    0     0     0 6085  686  2 98  0  0  0
29  0    512  51456  50872 271020    0    0     0     0 6047  688  3 97  0  0  0
31  0    512  51584  50872 271020    0    0     0     0 5990  681  0 100  0  0  0
29  0    512  51296  50872 271024    0    0     0     0 6047  689  2 98  0  0  0
32  0    512  51280  50872 271024    0    0     0    36 6004  710  1 99  0  0  0
33  0    512  51376  50872 271024    0    0     0     0 6078  674  0 100  0  0  0
29  0    512  51472  50872 271024    0    0     0     0 6076  671  2 98  0  0  0
31  0    512  51168  50872 271024    0    0     0     0 5982  719  2 98  0  0  0
31  0    512  51312  50872 271024    0    0     0     0 6127  653  1 99  0  0  0
31  0    512  51296  50872 271028    0    0     0    24 6121  675  0 100  0  0  0
33  0    512  51328  50872 271028    0    0     0     0 6047  674  1 99  0  0  0
34  0    512  51408  50872 271028    0    0     0     0 5978  688  3 97  0  0  0
28  0    512  51232  50872 271028    0    0     0     0 5951  699  1 99  0  0  0
34  0    512  51244  50872 271032    0    0     0     0 5846  714  4 96  0  0  0
32  0    512  50328  50872 271032    0    0     0    16 4923  697 15 85  0  0  0
31  0    512  49860  50872 271032    0    0     0     0 5240  657 14 86  0  0  0
32  0    512  50464  50872 271032    0    0     0     0 5761  673  5 95  0  0  0
31  0    512  50400  50872 271036    0    0     0     0 4912  672 18 82  0  0  0
31  0    512  50672  50872 271036    0    0     0     0 5911  823  3 97  0  0  0
35  0    512  50192  50872 271044    0    0     0    36 5125  752 16 84  0  0  0
30  0    512  50416  50872 271044    0    0     0     0 5639  793  6 94  0  0  0
29  0    512  50592  50872 271048    0    0     0     0 5926  827  1 99  0  0  0
31  0    512  50448  50872 271048    0    0     0     0 5826  858  0 100  0  0  0
33  1    512  50304  50872 271048    0    0     0    24 4931  763 16 84  0  0  0
34  0    512  50496  50872 271048    0    0     0     0 5956  834  0 100  0  0  0
30  0    512  51172  50872 271048    0    0     0     0 5740  775  4 96  0  0  0
31  0    512  51372  50872 271048    0    0     0     0 6077  697  0 100  0  0  0
31  0    512  51244  50872 271052    0    0     0     0 6160  652  0 100  0  0  0
32  0    512  51436  50872 271052    0    0     0    24 6123  779  0 100  0  0  0
30  0    512  51500  50872 271052    0    0     0    32 5972  831  2 98  0  0  0
31  0    512  51484  50872 271052    0    0     0     0 6065  810  0 100  0  0  0
30  0    512  51228  50872 271052    0    0     0     0 6006  776  1 99  0  0  0
31  0    512  51188  50872 271052    0    0     0     0 6041  683  2 98  0  0  0
32  0    512  51060  50872 271056    0    0     0     0 5949  677  1 99  0  0  0
28  0    512  51316  50872 271056    0    0     0    28 6014  711  2 98  0  0  0
32  0    512  51252  50872 271056    0    0     0     0 5878  715  3 97  0  0  0
31  0    512  51108  50872 271060    0    0     0     0 5923  765  4 96  0  0  0
31  0    512  51172  50872 271060    0    0     0     0 6089  658  1 99  0  0  0
31  0    512  51364  50872 271060    0    0     0     0 5970  803  2 98  0  0  0
30  0    512  51364  50872 271064    0    0     0    24 5927  855  1 99  0  0  0
33  0    512  51492  50872 271068    0    0     0     0 5997  816  1 99  0  0  0
31  0    512  51428  50872 271068    0    0     0     0 5973  810  6 94  0  0  0
32  0    512  51524  50872 271068    0    0     0     0 5928  827  1 99  0  0  0
30  0    512  51364  50872 271068    0    0     0    24 5952  740  0 100  0  0  0
29  0    512  51508  50872 271072    0    0     0     0 5959  807  3 97  0  0  0
34  0    512  51284  50872 271072    0    0     0     0 5901  816  2 98  0  0  0
34  0    512  51140  50872 271072    0    0     0     0 6048  665  1 99  0  0  0
32  0    512  51172  50872 271072    0    0     0     0 6019  668  2 98  0  0  0
31  0    512  51172  50872 271076    0    0     0     0 6031  698  1 99  0  0  0
33  0    512  51252  50872 271076    0    0     0    32 6029  719  1 99  0  0  0
