timeStamp,elapsed,label,responseCode,threadName,success,bytes,sentBytes,URL,Latency
1548273876392,333,HTTP Request small2,200,Thread Group traccia1 misto 1-2,true,100309,125,http://192.168.1.118/small2.html,4
1548273876762,10,HTTP Request small1,200,Thread Group traccia1 misto 1-1,true,25314,125,http://192.168.1.118/small1.html,4
1548273876596,416,HTTP Request small2,200,Thread Group traccia1 misto 1-13,true,100309,125,http://192.168.1.118/small2.html,4
1548273876892,573,HTTP Request small2,200,Thread Group traccia1 misto 1-2,true,100309,125,http://192.168.1.118/small2.html,4
1548273865072,12763,HTTP Request big1,200,Thread Group traccia1 misto 1-15,true,2035951,123,http://192.168.1.118/big1.html,9
1548273874838,3113,HTTP Request medium1,200,Thread Group traccia1 misto 1-22,true,500266,126,http://192.168.1.118/medium1.html,4
1548273875348,2920,HTTP Request medium1,200,Thread Group traccia1 misto 1-5,true,500266,126,http://192.168.1.118/medium1.html,4
1548273878269,49,HTTP Request small1,200,Thread Group traccia1 misto 1-5,true,25314,125,http://192.168.1.118/small1.html,4
1548273875484,2981,HTTP Request medium1,200,Thread Group traccia1 misto 1-8,true,500266,126,http://192.168.1.118/medium1.html,4
1548273875671,2906,HTTP Request medium1,200,Thread Group traccia1 misto 1-26,true,500266,126,http://192.168.1.118/medium1.html,4
1548273875836,2828,HTTP Request medium1,200,Thread Group traccia1 misto 1-25,true,500266,126,http://192.168.1.118/medium1.html,8
1548273872452,6242,HTTP Request medium2,200,Thread Group traccia1 misto 1-6,true,1018167,126,http://192.168.1.118/medium2.html,4
1548273878696,8,HTTP Request small1,200,Thread Group traccia1 misto 1-6,true,25314,125,http://192.168.1.118/small1.html,4
1548273876215,2791,HTTP Request medium1,200,Thread Group traccia1 misto 1-29,true,500266,126,http://192.168.1.118/medium1.html,5
1548273876053,2977,HTTP Request medium1,200,Thread Group traccia1 misto 1-30,true,500266,126,http://192.168.1.118/medium1.html,4
1548273879030,30,HTTP Request small1,200,Thread Group traccia1 misto 1-30,true,25314,125,http://192.168.1.118/small1.html,4
1548273866353,12708,HTTP Request big1,200,Thread Group traccia1 misto 1-21,true,2035951,123,http://192.168.1.118/big1.html,5
1548273879063,8,HTTP Request small1,200,Thread Group traccia1 misto 1-21,true,25314,125,http://192.168.1.118/small1.html,4
1548273878577,583,HTTP Request small2,200,Thread Group traccia1 misto 1-26,true,100309,125,http://192.168.1.118/small2.html,4
